Parameter,Enrichment ΔST,Enrichment Δ%,Enrichment CI%,Enrichment p-value,Enrichment Significant,Enrichment Δ CI Lower,Enrichment Δ CI Upper,Thymine Fraction ΔST,Thymine Fraction Δ%,Thymine Fraction CI%,Thymine Fraction p-value,Thymine Fraction Significant,Thymine Fraction Δ CI Lower,Thymine Fraction Δ CI Upper,DNA Yield ΔST,DNA Yield Δ%,DNA Yield CI%,DNA Yield p-value,DNA Yield Significant,DNA Yield Δ CI Lower,DNA Yield Δ CI Upper
Ea U,0.009,1.9,50.0,0.8165,False,-0.067,0.085,0.009,1.9,51.5,0.8099,False,-0.0643,0.0823,0.007,1.5,44.4,0.8242,False,-0.0548,0.0688
Ea T,-0.02,-3.9,49.3,0.6124,False,-0.0974,0.0574,-0.02,-3.9,48.6,0.6185,False,-0.0987,0.0587,-0.023,-4.5,49.3,0.5485,False,-0.0981,0.0521
Ea C Deam,0.02,4.1,54.5,0.643,False,-0.0646,0.1046,0.02,4.1,50.7,0.5997,False,-0.0547,0.0947,0.018,3.7,54.7,0.6683,False,-0.0643,0.1003
Ea A,0.034,7.3,46.8,0.3427,False,-0.0362,0.1042,0.034,7.3,46.9,0.3578,False,-0.0385,0.1065,0.03,6.5,51.6,0.4083,False,-0.0411,0.1011
A U,0.025,3.2,52.8,0.6759,False,-0.0922,0.1422,0.115,14.8,42.6,0.0376,True,0.0066,0.2234,-0.026,-3.4,48.5,0.6537,False,-0.1396,0.0876
A T,0.028,6.0,41.9,0.444,False,-0.0437,0.0997,0.028,6.0,50.7,0.4625,False,-0.0467,0.1027,0.025,5.3,40.0,0.4838,False,-0.045,0.095
A C,0.065,12.2,29.7,0.1034,False,-0.0132,0.1432,0.035,6.6,51.4,0.3915,False,-0.0451,0.1151,0.132,24.8,37.9,0.0002,True,0.0637,0.2003
A A,-0.013,-2.5,46.4,0.7449,False,-0.0913,0.0653,-0.013,-2.5,56.2,0.7492,False,-0.0927,0.0667,-0.014,-2.7,44.4,0.7034,False,-0.0861,0.0581
Deamination Ratio,-0.005,-1.0,41.9,0.8913,False,-0.0767,0.0667,-0.005,-1.0,48.5,0.898,False,-0.0815,0.0715,-0.005,-1.0,42.1,0.8817,False,-0.0709,0.0609
UV Resistance T,0.04,8.7,47.8,0.3138,False,-0.0378,0.1178,0.04,8.7,49.3,0.3247,False,-0.0396,0.1196,0.039,8.6,46.2,0.3005,False,-0.0348,0.1128
UV Resistance C,0.034,7.4,35.8,0.2899,False,-0.029,0.097,0.034,7.4,46.6,0.3109,False,-0.0318,0.0998,0.033,7.2,43.9,0.3224,False,-0.0324,0.0984
UV Resistance A,-0.002,-0.4,47.9,0.961,False,-0.0821,0.0781,-0.002,-0.4,44.3,0.9552,False,-0.0718,0.0678,0.007,1.4,54.3,0.8585,False,-0.07,0.084
Lipid Protection,0.057,13.0,32.7,0.0919,False,-0.0093,0.1233,0.057,13.0,44.1,0.0984,False,-0.0106,0.1246,0.059,13.5,27.8,0.0826,False,-0.0076,0.1256
Clay Protection,0.004,0.9,49.2,0.9117,False,-0.0667,0.0747,0.004,0.9,45.5,0.9169,False,-0.0712,0.0792,0.004,0.9,44.3,0.9106,False,-0.0658,0.0738
Base Catalysis Factor,-0.005,-0.7,45.1,0.9248,False,-0.1088,0.0988,-0.005,-0.7,53.2,0.9248,False,-0.1088,0.0988,-0.008,-1.2,45.3,0.8849,False,-0.1163,0.1003
