time_hours,WITH_U,WITH_T,WITH_C,WITH_A,WITH_total,WITH_enrichment,WITHOUT_U,WITHOUT_T,WITHOUT_C,WITHOUT_A,WITHOUT_total,WITHOUT_enrichment
0.000,0,0,0,0,0,0.0000,0,0,0,0,0,0.0000
0.084,79,48,1,24,152,0.6076,27,50,27,29,133,1.8519
0.168,176,99,2,54,331,0.5625,64,95,45,53,257,1.4844
0.251,307,160,2,89,558,0.5212,109,142,82,96,429,1.3028
0.335,418,207,2,140,767,0.4952,166,206,130,144,646,1.2410
0.418,505,260,3,170,938,0.5149,203,263,159,185,810,1.2956
0.502,630,327,3,227,1187,0.5190,231,321,179,233,964,1.3896
0.586,746,383,3,266,1398,0.5134,267,372,204,275,1118,1.3933
0.669,846,426,6,295,1573,0.5035,317,445,248,310,1320,1.4038
0.753,925,467,8,324,1724,0.5049,360,493,283,347,1483,1.3694
0.836,1019,507,8,365,1899,0.4975,388,554,322,390,1654,1.4278
0.920,1127,576,11,411,2125,0.5111,425,610,362,435,1832,1.4353
1.004,1224,637,10,450,2321,0.5204,463,652,393,476,1984,1.4082
1.087,1312,678,11,476,2477,0.5168,494,701,428,506,2129,1.4190
1.171,1388,710,13,488,2599,0.5115,525,748,452,536,2261,1.4248
1.254,1476,740,13,514,2743,0.5014,531,778,444,552,2305,1.4652
1.338,1528,764,15,533,2840,0.5000,541,803,458,579,2381,1.4843
1.422,1606,795,16,559,2976,0.4950,564,853,471,602,2490,1.5124
1.505,1688,839,19,592,3138,0.4970,586,888,485,630,2589,1.5154
1.589,1753,867,19,615,3254,0.4946,612,923,484,647,2666,1.5082
1.673,1806,895,19,623,3343,0.4956,647,950,495,679,2771,1.4683
1.756,1891,935,19,645,3490,0.4944,670,982,509,698,2859,1.4657
1.840,1977,977,19,671,3644,0.4942,700,1020,524,724,2968,1.4571
1.923,2078,1047,20,695,3840,0.5038,727,1067,534,752,3080,1.4677
2.007,2183,1089,20,732,4024,0.4989,764,1115,571,783,3233,1.4594
2.091,2285,1142,21,776,4224,0.4998,786,1147,592,822,3347,1.4593
2.174,2370,1200,21,821,4412,0.5063,818,1181,615,855,3469,1.4438
2.258,2449,1250,22,852,4573,0.5104,841,1227,642,894,3604,1.4590
2.341,2538,1288,22,888,4736,0.5075,869,1256,656,918,3699,1.4453
2.425,2624,1335,24,932,4915,0.5088,901,1310,686,966,3863,1.4539
2.509,2732,1393,27,980,5132,0.5099,920,1345,714,1004,3983,1.4620
2.592,2810,1441,27,994,5272,0.5128,959,1395,759,1034,4147,1.4546
2.676,2911,1497,29,1045,5482,0.5143,1011,1462,795,1082,4350,1.4461
2.759,2997,1545,30,1069,5641,0.5155,1039,1511,831,1135,4516,1.4543
2.843,3079,1592,29,1090,5790,0.5171,1084,1566,864,1176,4690,1.4446
2.927,3174,1634,32,1120,5960,0.5148,1106,1610,888,1204,4808,1.4557
3.010,3224,1649,31,1123,6027,0.5115,1126,1655,898,1234,4913,1.4698
3.094,3315,1698,32,1152,6197,0.5122,1146,1686,910,1245,4987,1.4712
3.178,3418,1744,32,1186,6380,0.5102,1174,1722,939,1281,5116,1.4668
3.261,3493,1771,34,1200,6498,0.5070,1213,1764,982,1325,5284,1.4542
3.345,3545,1799,36,1225,6605,0.5075,1229,1796,1011,1352,5388,1.4614
3.428,3625,1829,36,1245,6735,0.5046,1251,1824,1011,1367,5453,1.4580
3.512,3706,1859,37,1278,6880,0.5016,1270,1856,1017,1382,5525,1.4614
3.596,3800,1879,38,1292,7009,0.4945,1312,1891,1025,1414,5642,1.4413
3.679,3895,1930,39,1326,7190,0.4955,1337,1933,1053,1443,5766,1.4458
3.763,3998,1984,39,1360,7381,0.4962,1360,1977,1073,1484,5894,1.4537
3.846,4061,2025,39,1376,7501,0.4986,1393,2014,1096,1504,6007,1.4458
3.930,4148,2079,39,1421,7687,0.5012,1409,2047,1119,1535,6110,1.4528
4.014,4236,2122,41,1455,7854,0.5009,1435,2083,1132,1555,6205,1.4516
4.097,4332,2157,43,1484,8016,0.4979,1489,2143,1179,1604,6415,1.4392
