time_hours,WITH_U,WITH_T,WITH_C,WITH_A,WITH_total,WITH_enrichment,WITHOUT_U,WITHOUT_T,WITHOUT_C,WITHOUT_A,WITHOUT_total,WITHOUT_enrichment
0.000,0,0,0,0,0,0.0000,0,0,0,0,0,0.0000
0.084,79,48,1,24,152,0.6076,28,60,26,27,141,2.1429
0.168,176,99,2,54,331,0.5625,67,105,49,54,275,1.5672
0.251,307,160,2,89,558,0.5212,112,152,86,98,448,1.3571
0.335,418,207,2,140,767,0.4952,169,216,134,147,666,1.2781
0.418,507,259,3,175,944,0.5108,206,273,163,188,830,1.3252
0.502,632,326,3,232,1193,0.5158,234,331,183,236,984,1.4145
0.586,748,382,3,271,1404,0.5107,270,382,208,278,1138,1.4148
0.669,848,425,6,300,1579,0.5012,320,455,252,313,1340,1.4219
0.753,927,466,8,329,1730,0.5027,363,503,287,350,1503,1.3857
0.836,1021,506,8,370,1905,0.4956,391,564,326,394,1675,1.4425
0.920,1129,575,11,416,2131,0.5093,428,620,366,439,1853,1.4486
1.004,1226,636,10,455,2327,0.5188,466,662,397,480,2005,1.4206
1.087,1314,677,11,481,2483,0.5152,492,703,411,492,2098,1.4289
1.171,1390,709,13,493,2605,0.5101,519,748,441,526,2234,1.4412
1.254,1477,754,14,522,2767,0.5105,526,777,432,543,2278,1.4772
1.338,1573,796,14,561,2944,0.5060,537,803,447,572,2359,1.4953
1.422,1654,831,15,594,3094,0.5024,560,852,459,594,2465,1.5214
1.505,1730,876,16,625,3247,0.5064,583,887,473,622,2565,1.5214
1.589,1795,904,16,648,3363,0.5036,609,922,472,639,2642,1.5140
1.673,1847,933,17,657,3454,0.5051,644,949,483,673,2749,1.4736
1.756,1932,973,17,679,3601,0.5036,668,980,498,692,2838,1.4671
1.840,2014,1006,16,703,3739,0.4995,696,1019,512,718,2945,1.4641
1.923,2118,1059,17,736,3930,0.5000,724,1066,523,746,3059,1.4724
2.007,2225,1103,16,773,4117,0.4957,766,1119,562,783,3230,1.4608
2.091,2328,1158,16,817,4319,0.4974,797,1146,588,819,3350,1.4379
2.174,2409,1214,17,856,4496,0.5039,830,1182,611,853,3476,1.4241
2.258,2487,1264,18,886,4655,0.5082,851,1226,636,888,3601,1.4407
2.341,2579,1303,18,924,4824,0.5052,879,1255,651,914,3699,1.4278
2.425,2663,1349,20,967,4999,0.5066,911,1310,681,963,3865,1.4380
2.509,2771,1407,23,1014,5215,0.5078,932,1346,711,1001,3990,1.4442
2.592,2849,1455,23,1029,5356,0.5107,969,1394,753,1031,4147,1.4386
2.676,2948,1509,25,1075,5557,0.5119,1020,1460,788,1078,4346,1.4314
2.759,3035,1558,25,1100,5718,0.5133,1049,1509,825,1131,4514,1.4385
2.843,3116,1605,25,1121,5867,0.5151,1081,1574,858,1188,4701,1.4561
2.927,3210,1647,27,1151,6035,0.5131,1095,1608,875,1214,4792,1.4685
3.010,3259,1662,27,1154,6102,0.5100,1112,1651,885,1243,4891,1.4847
3.094,3352,1712,29,1184,6277,0.5107,1135,1683,898,1255,4971,1.4828
3.178,3454,1757,28,1217,6456,0.5087,1163,1720,926,1291,5100,1.4789
3.261,3529,1784,30,1231,6574,0.5055,1202,1761,969,1334,5266,1.4651
3.345,3581,1812,32,1256,6681,0.5060,1223,1803,997,1357,5380,1.4742
3.428,3661,1842,32,1276,6811,0.5031,1241,1824,1001,1363,5429,1.4698
3.512,3739,1867,33,1303,6942,0.4993,1276,1886,1044,1402,5608,1.4781
3.596,3832,1887,34,1317,7070,0.4924,1317,1933,1057,1436,5743,1.4677
3.679,3931,1943,35,1361,7270,0.4943,1343,1976,1078,1465,5862,1.4713
3.763,4034,1998,35,1394,7461,0.4953,1374,2027,1105,1505,6011,1.4753
3.846,4097,2039,35,1410,7581,0.4977,1408,2061,1127,1525,6121,1.4638
3.930,4179,2089,35,1452,7755,0.4999,1424,2097,1151,1556,6228,1.4726
4.014,4267,2133,36,1485,7921,0.4999,1450,2140,1176,1581,6347,1.4759
4.097,4362,2168,39,1515,8084,0.4970,1504,2201,1218,1625,6548,1.4634
4.181,4453,2209,39,1549,8250,0.4961,1543,2245,1260,1664,6712,1.4550
4.264,4532,2245,40,1576,8393,0.4954,1554,2289,1271,1699,6813,1.4730
4.348,4647,2294,42,1610,8593,0.4937,1585,2329,1299,1730,6943,1.4694
4.432,4720,2328,43,1624,8715,0.4932,1609,2382,1332,1787,7110,1.4804
4.515,4817,2382,43,1660,8902,0.4945,1634,2425,1362,1820,7241,1.4841
4.599,4922,2440,43,1700,9105,0.4957,1681,2474,1399,1870,7424,1.4717
4.683,5035,2482,45,1746,9308,0.4929,1714,2514,1407,1899,7534,1.4667
4.766,5096,2520,45,1769,9430,0.4945,1743,2565,1445,1935,7688,1.4716
4.850,5157,2550,46,1793,9546,0.4945,1772,2604,1465,1967,7808,1.4695
4.933,5262,2598,46,1836,9742,0.4937,1820,2659,1508,2016,8003,1.4610
