temperature_C,pH,enrichment,thymine_fraction,dna_yield,half_life_hours,stability_ratio,k_U,k_T,k_C,k_A,poly_rate,uv_resistance_ratio,vesicle_fraction,comp_U,comp_T,comp_C,comp_A
55.0,5.0,0.47071767999489633,0.038657973719387624,224738.96713629097,13.362838223314965,95.1754423212778,1.551940185155182e-05,1.4823726366460207e-07,6.17229607387131e-05,2.4572700993132385e-06,0.010917909796332373,4.107142857142857,0.17,142133.0,6131.0,895.0,9437.0
55.0,5.5,0.4774088406312245,0.039207489327202014,225397.50001402164,14.567519582451924,95.18484301215456,1.4228615550649042e-05,1.3589458822128688e-07,5.658537050588407e-05,2.252834208830117e-06,0.016382530865951497,4.107142857142857,0.255,141423.0,6190.0,929.0,9336.0
55.0,6.0,0.4813308176950718,0.03952958406191411,228300.32667420976,16.0256573152936,95.21624772489908,1.294269207129546e-05,1.2357222619371142e-07,5.145944595992153e-05,2.0490538589236874e-06,0.026179441801119387,4.107142857142857,0.34,141664.0,6262.0,961.0,9526.0
55.0,6.5,0.47932616689546054,0.039364950904458115,224207.55911270506,15.99410416734331,95.32066538252975,1.296795621214889e-05,1.2367780957721068e-07,5.152007315505454e-05,2.052460052057563e-06,0.044841131191961245,4.107142857142857,0.425,141530.0,6226.0,940.0,9465.0
55.0,7.0,0.4838895957101604,0.03973972525155907,224207.04566319933,15.900139738733472,95.6649264986743,1.3051674740042204e-05,1.2402830680843355e-07,5.172122993790618e-05,2.0637526524072545e-06,0.07081252129978104,4.107142857142857,0.51,142121.0,6315.0,946.0,9527.0
55.0,7.5,0.48136825360148594,0.039532658508334595,224200.89873120206,15.591600773902575,96.77634691344187,1.3326495308609368e-05,1.2518550370510727e-07,5.238424825639976e-05,2.1008790209868597e-06,0.09065219428066049,4.107142857142857,0.5950000000000001,142057.0,6280.0,909.0,9610.0
55.0,8.0,0.4771700712293629,0.039187880245889706,226238.00781982657,14.603303669295592,100.15154849573723,1.4207239411860477e-05,1.2896128304147153e-07,5.45361032590914e-05,2.2204234106996623e-06,0.09614236674060486,4.107142857142857,0.68,141574.0,6190.0,914.0,9279.0
55.0,8.5,0.48688278598547785,0.039985542810401564,229128.0377726002,12.348742383298225,108.69405122784391,1.6846108643013274e-05,1.4089680205974363e-07,6.12292204988533e-05,2.58357909647309e-06,0.08950804652645504,4.107142857142857,0.5950000000000001,141128.0,6306.0,922.0,9351.0
55.0,9.0,0.47403028005997444,0.03893002300009452,221850.2919667337,8.869939553889232,121.60496299057279,2.3464660326504492e-05,1.7541643748031105e-07,7.973797422743588e-05,3.5269420490536816e-06,0.07591441814672749,4.107142857142857,0.51,142178.0,6178.0,933.0,9406.0
55.0,9.5,0.4881843919771056,0.04009243798845795,226713.9232594463,5.9765310587777005,124.22937506465976,3.487275249513412e-05,2.5519328461406977e-07,0.00011842947723147222,5.263555517646215e-06,0.05993755884093769,4.107142857142857,0.425,140797.0,6315.0,955.0,9444.0
55.0,10.0,0.489513354608797,0.040201579847099274,229762.75933599734,4.479033258051966,112.5707847371721,4.6507794021100715e-05,3.755842410192769e-07,0.00016864953096955288,7.174506566352262e-06,0.044636939080193797,4.107142857142857,0.34,140593.0,6326.0,919.0,9519.0
58.0,5.0,0.4783912996445853,0.03928817436694662,224342.269604236,13.377062860883198,95.16883072932013,1.5525224846656415e-05,1.483031856283948e-07,6.17426881545645e-05,2.4582603943686477e-06,0.010920868211813053,4.107142857142857,0.18275,141627.0,6217.0,883.0,9514.0
58.0,5.5,0.4786258194906422,0.03930743445092231,222136.08522499702,14.577180033529412,95.17823076715524,1.4233954233124638e-05,1.3595502132631658e-07,5.660345588483727e-05,2.2537421149566295e-06,0.01638697002452953,4.107142857142857,0.274125,142318.0,6250.0,921.0,9514.0
